Timestamp,CH1 Volts,CH2 Volts,CH3 C,CH4 Volts,CH5 m/s^2,CH6 m/s^2,CH7 m/s^2,CH8 C
2025-03-08_12-34-53-623000,3.41,2.75,26.6,4.09,0.19,0.02,0.04,26.1
2025-03-08_12-34-54-123000,3.48,2.81,25.7,4.05,0.21,0.01,0.12,25.8
2025-03-08_12-34-54-623000,3.45,2.77,25.7,4.1,0.02,-0.07,0.09,26.0
2025-03-08_12-34-55-123000,3.52,2.68,25.5,4.13,0.15,-0.05,0.03,26.7
2025-03-08_12-34-55-623000,3.5,2.75,25.3,4.14,0.14,0.01,0.11,26.9
2025-03-08_12-34-56-123000,3.51,2.79,25.8,4.06,0.14,-0.11,0.09,25.3
2025-03-08_12-34-56-623000,3.46,2.84,25.9,4.12,0.12,-0.06,-0.01,26.2
2025-03-08_12-34-57-123000,3.47,2.85,24.5,4.15,0.1,-0.1,0.07,25.0
2025-03-08_12-34-57-623000,3.44,2.78,25.8,4.12,0.22,-0.06,0.13,26.0
2025-03-08_12-34-58-123000,3.47,2.81,25.9,4.13,0.15,-0.1,0.16,25.6
2025-03-08_12-34-58-623000,3.48,2.78,25.2,4.15,0.08,0.04,0.07,25.9
2025-03-08_12-34-59-123000,3.54,2.7,25.7,4.16,0.2,-0.04,0.0,25.9
2025-03-08_12-34-59-623000,3.48,2.7,25.6,4.16,0.06,-0.04,0.04,26.0
2025-03-08_12-35-00-123000,3.59,2.81,25.2,4.14,0.16,-0.05,0.06,26.6
2025-03-08_12-35-00-623000,3.49,2.78,26.0,4.13,0.07,-0.05,0.11,26.6
2025-03-08_12-35-01-123000,3.36,2.68,26.1,4.1,0.2,-0.03,0.05,26.0
2025-03-08_12-35-01-623000,3.4,2.75,24.8,4.19,0.1,-0.07,0.02,25.6
2025-03-08_12-35-02-123000,3.47,2.81,25.7,4.13,0.12,-0.06,-0.01,26.6
2025-03-08_12-35-02-623000,3.44,2.78,25.3,4.14,0.12,0.01,0.08,25.7
2025-03-08_12-35-03-123000,3.38,2.79,25.9,4.15,0.14,-0.15,-0.03,25.4
2025-03-08_12-35-03-623000,3.45,2.79,25.6,4.04,0.26,-0.06,-0.03,25.6
2025-03-08_12-35-04-123000,3.39,2.78,26.0,4.03,0.14,-0.03,0.0,25.9
2025-03-08_12-35-04-623000,3.41,2.8,26.0,4.01,0.05,-0.02,-0.0,26.1
2025-03-08_12-35-05-123000,3.44,2.78,25.0,4.07,0.15,-0.12,-0.04,26.1
2025-03-08_12-35-05-623000,3.49,2.76,26.2,4.05,0.1,-0.07,0.06,25.7
2025-03-08_12-35-06-123000,3.47,2.78,25.4,4.21,0.14,-0.03,0.09,25.4
2025-03-08_12-35-06-623000,3.36,2.76,26.5,4.08,0.16,-0.04,0.11,25.9
2025-03-08_12-35-07-123000,3.52,2.76,25.4,4.04,0.15,-0.14,0.12,25.9
2025-03-08_12-35-07-623000,3.52,2.75,25.3,4.12,0.04,-0.24,0.08,25.3
2025-03-08_12-35-08-123000,3.43,2.74,25.3,4.12,0.13,-0.01,0.05,25.8
2025-03-08_12-35-08-623000,3.39,2.83,24.6,4.07,0.06,-0.04,0.09,26.3
2025-03-08_12-35-09-123000,3.4,2.86,25.2,4.16,0.14,-0.01,0.05,26.2
2025-03-08_12-35-09-623000,3.41,2.82,25.6,4.03,0.11,-0.07,0.04,25.8
2025-03-08_12-35-10-123000,3.5,2.74,25.2,4.03,0.13,-0.04,0.05,26.5
2025-03-08_12-35-10-623000,3.46,2.87,25.2,4.1,0.13,-0.06,0.03,25.8
2025-03-08_12-35-11-123000,3.42,2.78,25.5,4.17,0.05,-0.06,0.08,26.6
2025-03-08_12-35-11-623000,3.43,2.82,26.3,4.06,0.11,0.03,0.07,25.8
2025-03-08_12-35-12-123000,3.4,2.71,26.6,4.05,0.12,-0.08,0.05,25.8
2025-03-08_12-35-12-623000,3.5,2.82,26.0,4.12,0.07,0.03,0.05,25.9
2025-03-08_12-35-13-123000,3.44,2.7,25.7,4.1,0.18,-0.11,0.05,26.1
2025-03-08_12-35-13-623000,3.47,2.78,25.3,4.08,0.13,-0.12,0.14,25.9
2025-03-08_12-35-14-123000,3.49,2.76,26.1,4.18,0.16,-0.15,0.09,25.6
2025-03-08_12-35-14-623000,3.46,2.8,25.5,4.03,0.13,-0.12,0.08,25.8
2025-03-08_12-35-15-123000,3.37,2.84,25.9,4.13,0.12,-0.1,0.05,26.8
2025-03-08_12-35-15-623000,3.47,2.69,25.7,4.07,0.2,-0.07,0.04,25.2
2025-03-08_12-35-16-123000,3.4,2.75,25.6,4.12,0.18,-0.02,0.07,27.1
2025-03-08_12-35-16-623000,3.42,2.75,25.6,4.09,0.07,-0.03,0.02,26.2
2025-03-08_12-35-17-123000,3.42,2.78,24.7,4.04,0.23,-0.09,0.07,26.3
2025-03-08_12-35-17-623000,3.41,2.72,25.0,4.14,0.16,-0.04,0.02,25.6
2025-03-08_12-35-18-123000,3.48,2.79,26.2,4.13,0.17,-0.04,0.11,26.1
2025-03-08_12-35-18-623000,3.54,2.8,25.6,4.1,0.1,-0.03,0.02,26.1
2025-03-08_12-35-19-123000,3.53,2.83,25.5,4.05,0.1,-0.15,0.04,26.9
2025-03-08_12-35-19-623000,3.47,2.73,24.6,4.11,0.13,-0.06,0.09,26.2
2025-03-08_12-35-20-123000,3.51,2.72,26.0,4.14,0.03,-0.08,-0.04,25.8
2025-03-08_12-35-20-623000,3.43,2.8,26.4,4.08,0.09,-0.06,0.09,26.3
2025-03-08_12-35-21-123000,3.51,2.74,25.3,4.07,0.17,-0.07,0.09,25.6
2025-03-08_12-35-21-623000,3.32,2.72,25.5,4.09,0.18,-0.07,0.08,25.6
2025-03-08_12-35-22-123000,3.42,2.73,26.5,4.18,0.08,-0.01,0.02,26.5
2025-03-08_12-35-22-623000,3.45,2.78,25.2,4.13,0.12,-0.09,0.04,25.8
2025-03-08_12-35-23-123000,3.41,2.83,25.8,4.18,0.12,-0.06,0.1,26.7
2025-03-08_12-35-23-623000,3.53,2.8,26.5,4.15,0.15,-0.12,0.05,26.6
2025-03-08_12-35-24-123000,3.43,2.79,25.3,4.12,0.03,-0.06,0.11,25.7
2025-03-08_12-35-24-623000,3.41,2.74,26.5,4.19,0.15,-0.08,0.05,26.2
2025-03-08_12-35-25-123000,3.4,2.85,17.4,4.18,0.07,-0.04,0.1,26.0
2025-03-08_12-35-25-623000,3.41,2.7,25.9,4.17,0.07,0.02,0.05,26.4
2025-03-08_12-35-26-123000,3.39,2.76,26.8,4.13,0.13,-0.02,0.09,25.6
2025-03-08_12-35-26-623000,3.51,2.77,25.4,4.13,0.1,-0.03,0.09,25.5
2025-03-08_12-35-27-123000,3.48,2.81,25.5,4.15,0.06,-0.06,0.05,26.2
2025-03-08_12-35-27-623000,3.46,2.8,26.0,4.07,0.14,-0.06,0.14,26.4
2025-03-08_12-35-28-123000,3.44,2.78,25.8,4.12,0.11,-0.05,-0.02,25.8
2025-03-08_12-35-28-623000,3.47,2.78,26.3,4.15,0.16,0.04,-0.05,25.9
2025-03-08_12-35-29-123000,3.42,2.81,26.0,4.11,0.08,-0.1,0.02,25.8
2025-03-08_12-35-29-623000,3.47,2.8,26.1,4.11,0.17,-0.05,0.08,25.5
2025-03-08_12-35-30-123000,3.42,2.77,24.8,4.1,0.1,-0.06,0.1,26.1
2025-03-08_12-35-30-623000,3.43,2.81,24.9,4.08,0.12,-0.27,0.12,26.6
2025-03-08_12-35-31-123000,3.49,2.8,24.9,4.13,0.13,-0.06,-0.01,26.3
2025-03-08_12-35-31-623000,3.46,2.82,25.5,4.08,0.21,-0.12,0.06,26.7
2025-03-08_12-35-32-123000,3.39,2.72,26.3,4.05,0.21,-0.01,0.14,25.9
2025-03-08_12-35-32-623000,3.46,2.86,25.4,4.17,0.23,0.04,0.14,26.5
2025-03-08_12-35-33-123000,3.37,2.76,24.5,4.17,0.11,-0.03,0.12,25.6
2025-03-08_12-35-33-623000,3.56,2.83,25.4,4.14,0.18,-0.07,0.01,25.8
2025-03-08_12-35-34-123000,3.4,2.73,26.3,4.21,0.18,0.02,0.09,25.8
2025-03-08_12-35-34-623000,3.41,2.77,25.1,4.13,0.22,0.0,0.13,26.6
2025-03-08_12-35-35-123000,3.42,2.75,25.5,4.19,0.03,0.05,0.03,26.2
2025-03-08_12-35-35-623000,3.45,2.75,26.5,4.09,0.11,-0.05,0.15,26.5
2025-03-08_12-35-36-123000,3.44,2.79,25.6,4.14,0.16,-0.07,0.03,26.3
2025-03-08_12-35-36-623000,3.42,2.74,25.0,4.08,0.08,0.0,0.1,26.6
2025-03-08_12-35-37-123000,3.45,2.84,26.1,4.04,0.09,-0.08,0.01,25.8
2025-03-08_12-35-37-623000,3.51,2.83,25.6,4.06,0.13,-0.01,0.1,25.9
2025-03-08_12-35-38-123000,3.52,2.82,26.4,4.18,0.24,-0.05,-0.04,26.8
2025-03-08_12-35-38-623000,3.47,2.81,25.3,4.06,0.18,-0.03,0.12,26.6
2025-03-08_12-35-39-123000,3.43,2.71,25.5,4.1,0.15,-0.02,0.12,25.5
2025-03-08_12-35-39-623000,3.44,2.74,26.4,4.13,0.16,-0.03,-0.04,26.4
2025-03-08_12-35-40-123000,3.4,2.72,25.1,4.11,0.12,0.01,0.05,26.3
2025-03-08_12-35-40-623000,3.42,2.88,25.3,4.1,0.08,-0.06,0.13,26.9
2025-03-08_12-35-41-123000,3.41,2.75,25.9,4.18,0.16,-0.04,0.04,25.6
2025-03-08_12-35-41-623000,3.37,2.78,25.8,4.18,0.1,0.01,0.06,25.4
2025-03-08_12-35-42-123000,3.49,2.75,25.9,4.14,0.1,-0.05,-0.01,26.1
2025-03-08_12-35-42-623000,3.33,2.77,25.7,4.05,0.16,-0.08,0.16,26.6
2025-03-08_12-35-43-123000,3.45,2.78,26.0,4.07,0.14,-0.03,0.12,25.9
2025-03-08_12-35-43-623000,3.46,2.77,25.1,4.03,0.05,-0.15,0.17,26.2
2025-03-08_12-35-44-123000,3.47,2.75,25.8,4.13,0.08,0.08,0.09,25.4
2025-03-08_12-35-44-623000,3.5,2.87,26.9,4.05,0.05,-0.06,0.09,26.2
2025-03-08_12-35-45-123000,3.45,2.79,26.8,4.08,0.08,0.0,0.09,25.6
2025-03-08_12-35-45-623000,3.44,2.71,25.4,4.13,0.07,0.01,0.09,26.0
2025-03-08_12-35-46-123000,3.48,2.68,25.0,4.11,0.11,-0.06,0.13,26.7
2025-03-08_12-35-46-623000,3.47,2.7,25.5,4.12,0.01,-0.07,0.08,25.8
2025-03-08_12-35-47-123000,3.43,2.81,25.6,4.03,0.15,0.01,0.04,25.7
2025-03-08_12-35-47-623000,3.46,2.83,25.6,4.07,-0.04,-0.08,0.1,25.3
2025-03-08_12-35-48-123000,3.5,2.83,25.5,4.14,0.1,-0.03,-0.01,26.0
2025-03-08_12-35-48-623000,3.42,2.79,25.7,4.08,0.08,0.02,0.04,26.4
2025-03-08_12-35-49-123000,3.53,2.78,25.6,4.02,0.2,-0.04,0.13,25.8
2025-03-08_12-35-49-623000,3.49,2.77,25.3,4.02,0.11,-0.09,0.01,26.0
2025-03-08_12-35-50-123000,3.43,2.83,25.7,4.13,0.13,-0.01,0.19,27.0
2025-03-08_12-35-50-623000,3.44,2.77,25.7,4.1,0.13,-0.04,0.13,26.3
2025-03-08_12-35-51-123000,3.46,2.82,25.6,4.05,0.06,-0.05,0.12,25.1
2025-03-08_12-35-51-623000,3.44,2.8,25.6,4.13,0.11,-0.07,-0.02,25.5
2025-03-08_12-35-52-123000,3.49,2.75,24.7,4.13,0.14,-0.04,0.17,26.1
2025-03-08_12-35-52-623000,3.39,2.83,25.7,4.13,0.14,-0.14,0.08,25.0
2025-03-08_12-35-53-123000,3.4,2.8,26.2,4.1,0.17,-0.06,0.08,25.6
2025-03-08_12-35-53-623000,3.36,2.77,25.8,4.06,0.08,0.02,0.11,26.4
2025-03-08_12-35-54-123000,3.42,2.71,24.9,4.04,0.09,-0.09,0.09,26.2
2025-03-08_12-35-54-623000,3.42,2.77,26.1,4.06,0.08,-0.07,0.13,26.3
2025-03-08_12-35-55-123000,3.49,2.84,25.5,4.1,0.05,-0.08,0.11,25.8
2025-03-08_12-35-55-623000,3.45,2.76,26.4,4.17,0.1,-0.07,0.09,25.5
2025-03-08_12-35-56-123000,3.43,2.72,25.3,4.16,0.07,-0.11,0.09,25.8
2025-03-08_12-35-56-623000,3.46,2.76,26.5,4.1,0.24,-0.06,-0.02,25.1
2025-03-08_12-35-57-123000,3.49,2.83,25.8,4.15,-0.06,-0.05,0.07,25.1
2025-03-08_12-35-57-623000,3.5,2.77,25.5,4.14,0.22,-0.05,0.07,26.1
2025-03-08_12-35-58-123000,3.35,2.78,25.3,4.09,0.09,-0.14,0.12,25.8
2025-03-08_12-35-58-623000,3.43,2.86,25.3,4.05,0.07,-0.04,0.18,26.3
2025-03-08_12-35-59-123000,3.41,2.79,41.8,4.06,0.1,0.01,0.07,25.4
2025-03-08_12-35-59-623000,3.45,2.83,25.9,4.13,0.18,-0.09,0.09,25.0
2025-03-08_12-36-00-123000,3.42,2.75,25.7,4.06,0.11,-0.09,0.1,25.5
2025-03-08_12-36-00-623000,3.41,2.85,25.3,4.16,0.22,-0.08,0.03,26.3
2025-03-08_12-36-01-123000,3.6,2.71,25.3,4.2,0.11,-0.02,0.05,27.2
2025-03-08_12-36-01-623000,3.43,2.78,25.7,4.05,0.05,-0.01,0.07,25.8
2025-03-08_12-36-02-123000,3.47,2.79,27.0,4.17,0.12,-0.05,0.08,25.8
2025-03-08_12-36-02-623000,3.51,2.85,25.9,4.13,0.04,-0.05,0.06,26.2
2025-03-08_12-36-03-123000,3.51,2.8,24.8,4.01,0.09,-0.09,0.13,25.3
2025-03-08_12-36-03-623000,3.42,2.82,25.6,4.15,0.17,-0.05,0.07,25.9
2025-03-08_12-36-04-123000,3.41,2.69,25.5,4.11,0.12,-0.05,0.09,24.9
2025-03-08_12-36-04-623000,3.51,2.89,25.2,4.06,0.09,-0.21,0.04,26.4
2025-03-08_12-36-05-123000,3.46,2.76,24.9,4.09,0.18,-0.08,0.06,25.9
2025-03-08_12-36-05-623000,3.43,2.87,25.3,4.17,0.15,-0.1,0.06,26.3
2025-03-08_12-36-06-123000,3.47,2.73,25.4,4.08,0.12,0.02,0.02,25.8
2025-03-08_12-36-06-623000,3.46,2.81,25.1,4.05,0.09,-0.09,0.11,25.2
2025-03-08_12-36-07-123000,3.52,2.77,25.6,4.08,0.12,-0.05,0.08,25.2
2025-03-08_12-36-07-623000,3.46,2.83,24.5,4.12,0.17,-0.03,0.13,26.3
2025-03-08_12-36-08-123000,3.46,2.81,25.8,4.07,0.09,-0.11,0.02,26.8
2025-03-08_12-36-08-623000,3.42,2.72,25.6,4.12,0.14,-0.14,0.07,25.8
2025-03-08_12-36-09-123000,3.45,2.79,25.8,4.03,0.1,-0.06,0.1,26.0
2025-03-08_12-36-09-623000,3.45,2.8,26.2,4.05,0.05,-0.05,0.07,25.5
2025-03-08_12-36-10-123000,3.51,2.88,25.2,4.11,0.1,0.01,0.07,25.9
2025-03-08_12-36-10-623000,3.4,2.86,25.2,4.07,0.14,-0.06,-0.11,25.9
2025-03-08_12-36-11-123000,3.37,2.79,25.4,4.12,0.16,-0.05,0.09,26.4
2025-03-08_12-36-11-623000,3.44,2.75,25.5,4.09,0.12,-0.01,0.16,26.0
2025-03-08_12-36-12-123000,3.53,2.74,26.0,4.09,0.15,-0.14,0.09,26.9
2025-03-08_12-36-12-623000,3.47,2.88,25.5,4.06,0.15,-0.05,-0.0,26.4
2025-03-08_12-36-13-123000,3.43,2.7,25.1,3.99,0.12,-0.09,0.09,26.0
2025-03-08_12-36-13-623000,3.46,2.69,26.3,4.08,0.05,-0.06,0.0,26.6
2025-03-08_12-36-14-123000,3.35,2.79,26.2,4.09,0.03,0.04,0.07,26.3
2025-03-08_12-36-14-623000,3.42,2.79,25.6,4.08,0.14,-0.07,0.05,26.0
2025-03-08_12-36-15-123000,3.43,2.71,25.6,4.2,0.07,-0.07,0.18,25.9
2025-03-08_12-36-15-623000,3.51,2.77,25.9,4.06,0.11,-0.08,0.07,26.5
2025-03-08_12-36-16-123000,3.4,2.81,25.5,4.16,0.12,-0.06,0.05,26.0
2025-03-08_12-36-16-623000,3.46,2.77,24.8,4.17,0.15,0.08,0.13,25.8
2025-03-08_12-36-17-123000,3.38,2.84,25.7,4.07,0.2,-0.07,0.05,25.5
2025-03-08_12-36-17-623000,3.43,2.77,26.0,4.09,0.13,-0.05,0.07,25.5
2025-03-08_12-36-18-123000,3.45,2.76,24.8,4.11,0.24,-0.09,0.03,26.2
2025-03-08_12-36-18-623000,3.41,2.77,24.8,4.17,0.07,-0.05,0.07,25.2
2025-03-08_12-36-19-123000,3.47,2.83,25.8,4.05,0.14,-0.08,0.12,27.3
2025-03-08_12-36-19-623000,3.5,2.83,26.0,4.2,0.23,-0.03,0.08,25.5
2025-03-08_12-36-20-123000,3.5,2.68,25.8,4.17,0.17,-0.13,0.13,25.7
2025-03-08_12-36-20-623000,3.42,2.68,26.1,4.16,0.21,-0.16,0.07,26.7
2025-03-08_12-36-21-123000,3.5,2.81,25.9,4.18,0.11,0.0,0.04,25.0
2025-03-08_12-36-21-623000,3.4,2.78,26.0,4.05,0.17,0.01,0.19,26.5
2025-03-08_12-36-22-123000,3.46,2.7,25.6,4.2,0.16,-0.16,0.07,25.9
2025-03-08_12-36-22-623000,3.48,2.76,26.6,4.1,0.11,-0.05,0.16,25.4
2025-03-08_12-36-23-123000,3.49,2.71,25.3,4.22,0.09,-0.06,0.12,25.7
2025-03-08_12-36-23-623000,3.53,2.77,25.4,4.04,0.1,0.01,0.06,25.9
2025-03-08_12-36-24-123000,3.54,2.87,24.8,4.23,0.1,-0.11,0.08,26.7
2025-03-08_12-36-24-623000,3.35,2.82,26.1,4.09,0.11,-0.01,0.14,27.0
2025-03-08_12-36-25-123000,3.38,2.71,26.2,4.13,0.12,0.02,0.07,26.1
2025-03-08_12-36-25-623000,3.43,2.83,25.7,4.05,0.08,-0.12,0.19,25.8
2025-03-08_12-36-26-123000,3.55,2.73,25.7,4.14,0.14,-0.05,0.07,25.9
2025-03-08_12-36-26-623000,3.38,2.83,24.8,4.09,0.05,-0.04,0.05,25.7
2025-03-08_12-36-27-123000,3.47,2.8,25.3,4.04,0.2,-0.0,0.07,26.9
2025-03-08_12-36-27-623000,3.42,2.81,24.9,4.05,0.12,-0.02,0.01,26.4
2025-03-08_12-36-28-123000,3.44,2.8,25.5,4.11,0.16,0.01,0.02,26.0
2025-03-08_12-36-28-623000,3.5,2.83,25.2,4.12,0.16,0.02,0.01,26.5
2025-03-08_12-36-29-123000,3.39,2.73,24.8,4.09,0.05,-0.09,0.09,26.0
2025-03-08_12-36-29-623000,3.42,2.74,25.4,4.08,0.08,-0.03,0.15,26.0
2025-03-08_12-36-30-123000,3.51,2.82,24.9,4.17,0.05,-0.11,0.07,26.1
2025-03-08_12-36-30-623000,3.46,2.83,25.3,4.19,0.02,-0.11,0.03,25.2
2025-03-08_12-36-31-123000,3.51,2.67,25.7,4.11,0.11,-0.01,0.15,25.9
2025-03-08_12-36-31-623000,3.42,2.75,25.6,4.19,0.13,-0.01,0.06,26.1
2025-03-08_12-36-32-123000,3.46,2.71,25.5,4.08,0.16,-0.02,0.11,26.1
2025-03-08_12-36-32-623000,3.43,2.73,24.7,4.08,0.11,-0.07,0.08,25.8
2025-03-08_12-36-33-123000,3.45,2.75,26.2,4.11,0.14,-0.11,0.03,25.8
2025-03-08_12-36-33-623000,3.45,2.75,25.9,4.13,0.11,-0.05,0.08,26.7
2025-03-08_12-36-34-123000,3.43,2.81,25.7,4.14,0.02,-0.0,0.11,26.3
2025-03-08_12-36-34-623000,3.41,2.77,26.0,4.17,0.16,-0.07,0.08,26.1
2025-03-08_12-36-35-123000,3.51,2.74,25.3,4.07,0.11,-0.02,0.13,26.4
2025-03-08_12-36-35-623000,3.4,2.73,25.0,4.2,0.03,-0.02,0.2,26.1
2025-03-08_12-36-36-123000,3.5,2.76,25.3,4.1,0.17,-0.04,0.12,26.9
2025-03-08_12-36-36-623000,3.43,2.74,26.7,4.1,0.23,0.07,0.04,25.3
2025-03-08_12-36-37-123000,3.41,2.72,25.9,4.08,0.16,-0.11,0.17,26.4
2025-03-08_12-36-37-623000,3.42,2.71,26.5,4.12,0.09,-0.02,0.09,26.4
2025-03-08_12-36-38-123000,3.49,2.83,26.1,4.14,0.13,-0.1,0.08,25.3
2025-03-08_12-36-38-623000,3.44,2.79,26.0,4.11,0.12,-0.0,0.02,26.0
2025-03-08_12-36-39-123000,3.36,2.77,25.7,4.15,0.13,0.0,0.01,25.4
2025-03-08_12-36-39-623000,3.37,2.71,25.9,4.09,0.09,0.01,0.14,26.5
2025-03-08_12-36-40-123000,3.47,2.82,25.3,4.05,0.12,-0.07,0.11,25.9
2025-03-08_12-36-40-623000,3.51,2.71,25.4,4.17,0.22,0.04,0.05,26.3
2025-03-08_12-36-41-123000,3.39,2.91,25.0,4.15,0.02,0.0,0.11,25.5
2025-03-08_12-36-41-623000,3.46,2.75,25.7,4.15,-0.03,0.02,0.06,26.1
2025-03-08_12-36-42-123000,3.42,2.76,25.1,4.16,0.16,0.02,0.05,26.1
2025-03-08_12-36-42-623000,3.53,2.72,25.6,4.09,0.0,-0.06,0.08,25.6
2025-03-08_12-36-43-123000,3.45,2.77,25.9,4.12,0.18,-0.07,0.08,26.0
2025-03-08_12-36-43-623000,3.47,2.76,25.3,4.11,0.12,-0.06,0.05,25.9
2025-03-08_12-36-44-123000,3.46,2.85,25.3,4.15,0.17,-0.04,0.07,26.3
2025-03-08_12-36-44-623000,3.47,2.8,25.2,4.13,0.16,0.01,0.06,26.4
2025-03-08_12-36-45-123000,3.49,2.79,26.0,4.09,0.13,-0.1,0.09,26.1
2025-03-08_12-36-45-623000,3.37,2.69,25.3,4.21,0.07,-0.06,0.13,25.4
2025-03-08_12-36-46-123000,3.39,2.79,25.1,4.12,0.13,-0.09,0.1,25.7
2025-03-08_12-36-46-623000,3.48,2.83,25.6,4.18,0.1,-0.07,0.08,25.2
2025-03-08_12-36-47-123000,3.47,2.71,25.5,4.13,0.1,-0.13,0.08,26.4
2025-03-08_12-36-47-623000,3.49,2.75,25.5,4.1,0.14,-0.13,0.03,25.7
2025-03-08_12-36-48-123000,3.43,2.77,26.3,4.1,0.17,-0.14,0.1,26.4
2025-03-08_12-36-48-623000,3.51,2.79,26.0,4.2,0.18,-0.1,0.09,27.0
2025-03-08_12-36-49-123000,3.51,2.74,25.0,4.07,0.11,-0.05,0.07,25.8
2025-03-08_12-36-49-623000,3.46,2.76,24.9,4.04,0.05,-0.03,0.09,25.9
2025-03-08_12-36-50-123000,3.52,2.66,25.4,4.09,0.02,-0.02,0.03,26.1
2025-03-08_12-36-50-623000,3.34,2.79,25.4,4.14,0.14,-0.07,0.02,25.0
2025-03-08_12-36-51-123000,3.41,2.76,25.0,4.01,0.11,-0.07,0.08,25.7
2025-03-08_12-36-51-623000,3.46,2.84,25.8,4.09,0.09,-0.07,0.13,26.6
2025-03-08_12-36-52-123000,3.49,2.74,25.3,4.05,0.16,0.02,0.02,27.0
2025-03-08_12-36-52-623000,3.45,2.77,26.1,4.09,0.11,-0.07,0.13,26.3
2025-03-08_12-36-53-123000,3.46,2.74,25.6,4.15,0.19,0.02,0.13,25.8
2025-03-08_12-36-53-623000,3.53,2.74,26.1,4.11,0.0,-0.06,0.18,26.8
2025-03-08_12-36-54-123000,3.5,2.85,25.4,4.04,0.08,-0.08,0.03,26.4
2025-03-08_12-36-54-623000,3.38,2.82,25.9,4.08,0.03,0.03,0.05,26.3
2025-03-08_12-36-55-123000,3.4,2.78,25.9,4.14,0.22,0.03,0.06,26.6
2025-03-08_12-36-55-623000,3.41,2.72,25.7,4.14,0.19,0.0,0.06,26.5
2025-03-08_12-36-56-123000,3.42,2.78,25.9,4.1,0.12,-0.1,0.16,26.5
2025-03-08_12-36-56-623000,3.47,2.78,25.7,4.11,0.23,-0.0,0.1,25.6
2025-03-08_12-36-57-123000,3.43,2.73,25.4,4.1,0.16,0.08,0.03,27.0
2025-03-08_12-36-57-623000,3.36,2.74,26.2,4.1,0.03,-0.1,0.07,25.5
2025-03-08_12-36-58-123000,3.43,2.79,24.9,4.14,0.2,-0.06,0.0,25.4
2025-03-08_12-36-58-623000,3.46,2.86,26.1,4.1,0.18,-0.07,0.05,27.2
2025-03-08_12-36-59-123000,3.39,2.81,26.5,4.07,0.13,-0.04,0.12,25.8
2025-03-08_12-36-59-623000,3.41,2.77,25.9,4.15,-0.02,-0.06,0.04,25.9
2025-03-08_12-37-00-123000,3.49,2.8,26.1,4.15,0.13,-0.02,0.04,26.3
2025-03-08_12-37-00-623000,3.46,2.8,24.7,4.18,0.07,-0.04,0.09,25.3
2025-03-08_12-37-01-123000,3.4,2.8,26.6,4.08,0.1,0.0,0.04,26.4
2025-03-08_12-37-01-623000,3.38,2.72,25.9,4.09,0.13,-0.05,0.16,26.2
2025-03-08_12-37-02-123000,3.44,2.75,25.6,4.1,0.12,-0.07,0.03,26.5
2025-03-08_12-37-02-623000,3.46,2.73,25.8,4.05,0.08,0.07,0.15,25.9
2025-03-08_12-37-03-123000,3.45,2.72,25.9,4.07,0.13,-0.03,0.05,26.0
2025-03-08_12-37-03-623000,3.45,2.87,25.4,4.1,0.05,0.02,-0.03,26.3
2025-03-08_12-37-04-123000,3.46,2.69,25.8,4.16,0.14,-0.03,0.14,25.5
2025-03-08_12-37-04-623000,3.5,2.69,25.6,4.01,0.18,-0.08,0.13,26.3
2025-03-08_12-37-05-123000,3.47,2.69,25.4,4.15,0.19,-0.06,0.04,25.8
2025-03-08_12-37-05-623000,3.41,2.76,25.1,4.05,0.11,-0.06,0.09,26.2
2025-03-08_12-37-06-123000,3.45,2.79,25.8,4.12,0.16,-0.06,0.15,26.5
2025-03-08_12-37-06-623000,3.46,2.82,25.9,4.14,0.01,-0.09,0.1,26.0
2025-03-08_12-37-07-123000,3.43,2.84,26.3,4.09,0.13,-0.06,0.18,26.0
2025-03-08_12-37-07-623000,3.44,2.72,26.0,4.22,0.19,-0.03,0.1,26.0
2025-03-08_12-37-08-123000,3.47,2.77,26.6,4.1,0.16,-0.04,0.1,24.5
2025-03-08_12-37-08-623000,3.42,2.84,25.5,4.15,0.16,0.0,0.08,26.1
2025-03-08_12-37-09-123000,3.48,2.81,25.4,4.13,0.09,-0.07,0.05,26.3
2025-03-08_12-37-09-623000,3.42,2.88,25.4,4.11,0.18,-0.02,0.14,26.5
2025-03-08_12-37-10-123000,3.45,2.71,26.2,4.13,0.09,-0.06,0.11,26.4
2025-03-08_12-37-10-623000,3.47,2.79,25.2,4.08,0.06,-0.12,0.12,25.7
2025-03-08_12-37-11-123000,3.45,2.72,26.1,4.09,0.04,-0.02,0.12,26.3
2025-03-08_12-37-11-623000,3.5,2.73,25.7,4.1,0.2,0.01,0.11,26.2
2025-03-08_12-37-12-123000,3.44,2.81,25.3,4.09,0.12,-0.03,0.1,25.9
2025-03-08_12-37-12-623000,3.48,2.75,26.0,4.09,0.15,-0.01,0.06,25.6
2025-03-08_12-37-13-123000,3.49,2.72,25.8,4.12,0.09,-0.04,0.11,25.5
2025-03-08_12-37-13-623000,3.47,2.75,26.3,4.08,0.17,-0.03,0.06,26.1
2025-03-08_12-37-14-123000,3.43,2.75,26.0,4.1,0.08,-0.11,0.09,26.3
2025-03-08_12-37-14-623000,3.43,2.79,25.9,4.17,0.09,-0.09,0.1,25.5
2025-03-08_12-37-15-123000,3.54,2.74,26.2,4.14,0.1,-0.06,0.15,26.1
